"geo";"longitude";"latitude";"population";"area";"business_births";"net_business_pop_growth";"trade_mark_apps";"trade_mark_regs";"internet_access";"gdp_eur_hab";"employment";"value_added";"disposable_income";"operating_surplus";"balance_of_incomes";"compensation";"property_income"
"ES11";"-7.90979588753823";"42.7569125395358";2747226;29575;9033;-2,58;285;239;70;19700;1014,8;49021,3;12400;6437,2;34057;24751,1;2868,7
"ES12";"-5.99353481485131";"43.2922119228447";1058975;10602;3146;-2,84;32;44;73;19500;375,6;18711,8;13800;2307;13729,7;10238,1;1184,6
"ES13";"-4.0324642921877";"43.1968912746989";587682;5327;1697;-3,52;60;50;74;20400;213,7;10863,3;13100;1338,8;7849,3;5848,8;661,8
"ES21";"-2.62105262936638";"43.0320517044541";2167166;7275;5010;-2,73;385;334;78;29500;972,5;58161,1;17700;6277,1;40386,2;30668,9;3440,3
"ES22";"-1.64745490485929";"42.6676076396091";636450;10390;1673;-1,44;147;125;76;28000;282,7;16229,7;16800;2049,5;11599;8381,9;1167,6
"ES23";"-2.51731978745258";"42.2750196975889";315223;5045;989;-2,05;97;97;70;24300;128,4;6948,9;14000;971,5;4781,3;3386,7;423,1
"ES24";"-0.660189802078706";"41.5200724493549";1331301;47721;3851;-2,13;173;163;71;24600;550,6;29793,8;14500;3935,8;20586,5;14868,7;1782,1
"ES30";"-3.71578863049544";"40.4947732846109";6378297;8028;21893;-1,42;1896;1683;83;30600;3079,9;177800,7;17000;20228,3;128898,7;97841,4;10829
"ES41";"-4.78831580066974";"41.7511130635789";2495689;94227;6587;-2,84;209;174;69;20900;932,2;47219,9;13300;6605,5;33603,1;24109,2;2888,4
"ES42";"-3.00472678866406";"39.5810273049965";2075197;79417;6558;-1,8;273;179;67;17300;663,2;32488,2;11000;4468,9;23587,9;17729,7;1389,3
"ES43";"-6.15084029659233";"39.1914921085335";1096421;41634;3420;-2,37;52;54;68;15200;335,3;15154,6;10000;2197;10765,6;7936,3;632,4
"ES51";"1.52873453345257";"41.7982129286948";7416237;32091;26405;-2,42;2407;2079;78;26600;3211,7;179026,7;15500;22592,3;127303,6;93818,2;10893
"ES52";"-0.543292116188374";"39.3905008075793";4956427;23256;18543;-1,66;1088;973;71;19700;1757,3;88501,7;11800;11983,7;60938,5;44386,8;4568,1
"ES53";"2.95675943729891";"39.6133415002382";1115841;4992;4713;-0,84;280;215;78;23400;466,8;23901,1;13200;3821,5;16843,7;11935,5;1086,6
"ES61";"-4.57548166431877";"37.4633746182172";8388875;87597;27248;-1,85;727;586;73;16500;2686,6;126164,9;10300;18757,7;87253,3;64607,9;3887,6
"ES62";"-1.48545804511225";"38.0023860775329";1461803;11314;4772;-2,15;316;229;73;18200;543,2;24171,3;10600;3102,6;16485,9;12478,8;904,5
"ES63";"-5.34256688997319";"35.893740312596";84674;20;206;0,05;3;2;81;18300;28,4;1407,5;11600;144;1055,4;835,6;75,9
"ES64";"-2.9512583212214";"35.2912492411248";83870;13;206;0,21;3;0;83;16700;26,5;1275,9;10300;132,3;946,8;755,5;59
"ES70";"-16.5567144056326";"28.2909235306029";2114845;7446;7333;-1,81;189;171;73;18800;740,6;36165,1;11000;5536,5;25233,8;18664,5;1032,8
